date,views,title,lang
202101,610123,Kanye West,en
202102,503609,Kanye West,en
202103,555209,Kanye West,en
202104,500849,Kanye West,en
202105,434243,Kanye West,en
202106,499599,Kanye West,en
202107,730725,Kanye West,en
202108,1155212,Kanye West,en
202109,896707,Kanye West,en
202110,940772,Kanye West,en
202111,711616,Kanye West,en
202112,584957,Kanye West,en
202201,863899,Kanye West,en
202202,1602506,Kanye West,en
202203,1235821,Kanye West,en
202204,614037,Kanye West,en
202205,517898,Kanye West,en
202206,433077,Kanye West,en
202207,418125,Kanye West,en
202208,485947,Kanye West,en
202209,516103,Kanye West,en
202210,2530940,Kanye West,en
202211,1031511,Kanye West,en
202212,1257622,Kanye West,en
202301,811546,Kanye West,en
202302,565565,Kanye West,en
202303,550330,Kanye West,en
202304,418059,Kanye West,en
202305,723686,Kanye West,en
202306,748796,Kanye West,en
202307,595569,Kanye West,en
202308,751360,Kanye West,en
202309,670902,Kanye West,en
202310,552130,Kanye West,en
202311,555777,Kanye West,en
202312,17152,Kanye West,en
