date,views,title,lang
202101,1017,Bitcoin,ja
202102,1091,Bitcoin,ja
202103,1143,Bitcoin,ja
202104,1076,Bitcoin,ja
202105,1307,Bitcoin,ja
202106,1385,Bitcoin,ja
202107,1053,Bitcoin,ja
202108,1067,Bitcoin,ja
202109,918,Bitcoin,ja
202110,1937,Bitcoin,ja
202111,770,Bitcoin,ja
202112,722,Bitcoin,ja
202201,602,Bitcoin,ja
202202,509,Bitcoin,ja
202203,1206,Bitcoin,ja
202204,427,Bitcoin,ja
202205,404,Bitcoin,ja
202206,313,Bitcoin,ja
202207,324,Bitcoin,ja
202208,413,Bitcoin,ja
202209,213,Bitcoin,ja
202210,228,Bitcoin,ja
202211,191,Bitcoin,ja
202212,677,Bitcoin,ja
202301,192,Bitcoin,ja
202302,118,Bitcoin,ja
202303,150,Bitcoin,ja
202304,155,Bitcoin,ja
202305,162,Bitcoin,ja
202306,93,Bitcoin,ja
202307,100,Bitcoin,ja
202308,91,Bitcoin,ja
202309,99,Bitcoin,ja
202310,103,Bitcoin,ja
202311,100,Bitcoin,ja
202312,1,Bitcoin,ja
