date,views,title,lang
202101,52797,BTS (band),en
202102,44247,BTS (band),en
202103,56810,BTS (band),en
202104,46576,BTS (band),en
202105,56420,BTS (band),en
202106,50660,BTS (band),en
202107,41934,BTS (band),en
202108,22579,BTS (band),en
202109,23182,BTS (band),en
202110,18348,BTS (band),en
202111,12450,BTS (band),en
202112,11888,BTS (band),en
202201,10551,BTS (band),en
202202,8817,BTS (band),en
202203,9853,BTS (band),en
202204,8885,BTS (band),en
202205,7179,BTS (band),en
202206,7715,BTS (band),en
202207,6554,BTS (band),en
202208,6643,BTS (band),en
202209,6306,BTS (band),en
202210,5833,BTS (band),en
202211,5858,BTS (band),en
202212,5684,BTS (band),en
202301,6450,BTS (band),en
202302,5473,BTS (band),en
202303,7131,BTS (band),en
202304,6426,BTS (band),en
202305,6940,BTS (band),en
202306,7484,BTS (band),en
202307,5970,BTS (band),en
202308,5750,BTS (band),en
202309,5206,BTS (band),en
202310,5828,BTS (band),en
202311,5163,BTS (band),en
202312,180,BTS (band),en
