date,views,title,lang
202101,196184,Spotify,en
202102,196997,Spotify,en
202103,196193,Spotify,en
202104,224692,Spotify,en
202105,152676,Spotify,en
202106,126245,Spotify,en
202107,256507,Spotify,en
202108,234090,Spotify,en
202109,247640,Spotify,en
202110,236288,Spotify,en
202111,263626,Spotify,en
202112,262308,Spotify,en
202201,345184,Spotify,en
202202,327778,Spotify,en
202203,281010,Spotify,en
202204,230550,Spotify,en
202205,234740,Spotify,en
202206,259266,Spotify,en
202207,291595,Spotify,en
202208,263923,Spotify,en
202209,269586,Spotify,en
202210,651485,Spotify,en
202211,575985,Spotify,en
202212,382800,Spotify,en
202301,377943,Spotify,en
202302,320839,Spotify,en
202303,293523,Spotify,en
202304,209480,Spotify,en
202305,238590,Spotify,en
202306,252758,Spotify,en
202307,245987,Spotify,en
202308,214557,Spotify,en
202309,196019,Spotify,en
202310,212539,Spotify,en
202311,202073,Spotify,en
202312,7896,Spotify,en
