date,views,title,lang
202101,743464,Netflix,en
202102,584009,Netflix,en
202103,649398,Netflix,en
202104,534818,Netflix,en
202105,439429,Netflix,en
202106,406464,Netflix,en
202107,1014227,Netflix,en
202108,922064,Netflix,en
202109,972743,Netflix,en
202110,1018991,Netflix,en
202111,870718,Netflix,en
202112,891653,Netflix,en
202201,1016612,Netflix,en
202202,855205,Netflix,en
202203,840193,Netflix,en
202204,863348,Netflix,en
202205,859842,Netflix,en
202206,879682,Netflix,en
202207,988254,Netflix,en
202208,938087,Netflix,en
202209,877379,Netflix,en
202210,884930,Netflix,en
202211,1030766,Netflix,en
202212,910508,Netflix,en
202301,930250,Netflix,en
202302,689671,Netflix,en
202303,732916,Netflix,en
202304,720221,Netflix,en
202305,853989,Netflix,en
202306,700697,Netflix,en
202307,864944,Netflix,en
202308,683842,Netflix,en
202309,610201,Netflix,en
202310,458516,Netflix,en
202311,431750,Netflix,en
202312,13626,Netflix,en
