date,views,title,lang
202101,1345536,COVID-19 pandemic,en
202102,1169886,COVID-19 pandemic,en
202103,1338873,COVID-19 pandemic,en
202104,1277062,COVID-19 pandemic,en
202105,1195838,COVID-19 pandemic,en
202106,999297,COVID-19 pandemic,en
202107,972947,COVID-19 pandemic,en
202108,878245,COVID-19 pandemic,en
202109,850416,COVID-19 pandemic,en
202110,725803,COVID-19 pandemic,en
202111,703166,COVID-19 pandemic,en
202112,766485,COVID-19 pandemic,en
202201,825415,COVID-19 pandemic,en
202202,1425978,COVID-19 pandemic,en
202203,2496525,COVID-19 pandemic,en
202204,504334,COVID-19 pandemic,en
202205,517382,COVID-19 pandemic,en
202206,434244,COVID-19 pandemic,en
202207,419427,COVID-19 pandemic,en
202208,402913,COVID-19 pandemic,en
202209,371021,COVID-19 pandemic,en
202210,375157,COVID-19 pandemic,en
202211,376347,COVID-19 pandemic,en
202212,370126,COVID-19 pandemic,en
202301,385786,COVID-19 pandemic,en
202302,331251,COVID-19 pandemic,en
202303,400331,COVID-19 pandemic,en
202304,331564,COVID-19 pandemic,en
202305,537272,COVID-19 pandemic,en
202306,334592,COVID-19 pandemic,en
202307,334721,COVID-19 pandemic,en
202308,333061,COVID-19 pandemic,en
202309,312914,COVID-19 pandemic,en
202310,349638,COVID-19 pandemic,en
202311,288811,COVID-19 pandemic,en
202312,10027,COVID-19 pandemic,en
