date,views,title,lang
202007,26079,GameStop,en
202008,23086,GameStop,en
202009,37412,GameStop,en
202010,33412,GameStop,en
202011,43876,GameStop,en
202012,45595,GameStop,en
202101,684651,GameStop,en
202102,314935,GameStop,en
202103,151930,GameStop,en
202104,69763,GameStop,en
202105,52976,GameStop,en
202106,49734,GameStop,en
202107,71734,GameStop,en
202108,61424,GameStop,en
202109,53991,GameStop,en
202110,53765,GameStop,en
202111,59780,GameStop,en
202112,67052,GameStop,en
202201,60209,GameStop,en
202202,51028,GameStop,en
202203,57706,GameStop,en
202204,48264,GameStop,en
202205,45759,GameStop,en
202206,37674,GameStop,en
202207,62806,GameStop,en
202208,89348,GameStop,en
202209,90099,GameStop,en
202210,136432,GameStop,en
202211,67571,GameStop,en
202212,42307,GameStop,en
202301,41906,GameStop,en
202302,46373,GameStop,en
202303,46588,GameStop,en
202304,39303,GameStop,en
202305,45472,GameStop,en
202306,83348,GameStop,en
202307,104791,GameStop,en
202308,66712,GameStop,en
202309,79182,GameStop,en
202310,74132,GameStop,en
202311,171510,GameStop,en
202312,1592,GameStop,en
