date,views,title,lang
202202,9008253,2022 Russian invasion of Ukraine,en
202203,14652522,2022 Russian invasion of Ukraine,en
202204,6560612,2022 Russian invasion of Ukraine,en
202205,4392474,2022 Russian invasion of Ukraine,en
202206,2956337,2022 Russian invasion of Ukraine,en
202207,2779722,2022 Russian invasion of Ukraine,en
202208,2238406,2022 Russian invasion of Ukraine,en
202209,3422217,2022 Russian invasion of Ukraine,en
202210,2879149,2022 Russian invasion of Ukraine,en
202211,2045015,2022 Russian invasion of Ukraine,en
202212,1452862,2022 Russian invasion of Ukraine,en
202301,1716169,2022 Russian invasion of Ukraine,en
202302,1749447,2022 Russian invasion of Ukraine,en
202303,726444,2022 Russian invasion of Ukraine,en
202304,298061,2022 Russian invasion of Ukraine,en
202305,293100,2022 Russian invasion of Ukraine,en
202306,290397,2022 Russian invasion of Ukraine,en
202307,216067,2022 Russian invasion of Ukraine,en
202308,191540,2022 Russian invasion of Ukraine,en
202309,159638,2022 Russian invasion of Ukraine,en
202310,142072,2022 Russian invasion of Ukraine,en
202311,133212,2022 Russian invasion of Ukraine,en
202312,4383,2022 Russian invasion of Ukraine,en
