date,views,title,lang
202101,25737,Kanye West,de
202102,25128,Kanye West,de
202103,17872,Kanye West,de
202104,19052,Kanye West,de
202105,16490,Kanye West,de
202106,18570,Kanye West,de
202107,19099,Kanye West,de
202108,35686,Kanye West,de
202109,34124,Kanye West,de
202110,31076,Kanye West,de
202111,22861,Kanye West,de
202112,30405,Kanye West,de
202201,38356,Kanye West,de
202202,63367,Kanye West,de
202203,52541,Kanye West,de
202204,28467,Kanye West,de
202205,21796,Kanye West,de
202206,21844,Kanye West,de
202207,20491,Kanye West,de
202208,22420,Kanye West,de
202209,24127,Kanye West,de
202210,146109,Kanye West,de
202211,56651,Kanye West,de
202212,75117,Kanye West,de
202301,33814,Kanye West,de
202302,29398,Kanye West,de
202303,27130,Kanye West,de
202304,19836,Kanye West,de
202305,32778,Kanye West,de
202306,26018,Kanye West,de
202307,25787,Kanye West,de
202308,35451,Kanye West,de
202309,44861,Kanye West,de
202310,28758,Kanye West,de
202311,26205,Kanye West,de
202312,708,Kanye West,de
