date,views,title,lang
202101,8324,Apple Inc,en
202102,9680,Apple Inc,en
202103,9594,Apple Inc,en
202104,8868,Apple Inc,en
202105,8433,Apple Inc,en
202106,8374,Apple Inc,en
202107,6693,Apple Inc,en
202108,7855,Apple Inc,en
202109,8549,Apple Inc,en
202110,9234,Apple Inc,en
202111,7303,Apple Inc,en
202112,5765,Apple Inc,en
202201,6704,Apple Inc,en
202202,6603,Apple Inc,en
202203,7923,Apple Inc,en
202204,7185,Apple Inc,en
202205,9667,Apple Inc,en
202206,7928,Apple Inc,en
202207,68019,Apple Inc,en
202208,9413,Apple Inc,en
202209,8355,Apple Inc,en
202210,7018,Apple Inc,en
202211,7469,Apple Inc,en
202212,7434,Apple Inc,en
202301,7646,Apple Inc,en
202302,6671,Apple Inc,en
202303,10012,Apple Inc,en
202304,6628,Apple Inc,en
202305,5407,Apple Inc,en
202306,6156,Apple Inc,en
202307,5554,Apple Inc,en
202308,5636,Apple Inc,en
202309,6551,Apple Inc,en
202310,7607,Apple Inc,en
202311,6977,Apple Inc,en
202312,212,Apple Inc,en
