"Time","Silicon Valley Bank"
"2021-01-01",0
"2021-02-01",0
"2021-03-01",1
"2021-04-01",1
"2021-05-01",1
"2021-06-01",0
"2021-07-01",1
"2021-08-01",1
"2021-09-01",1
"2021-10-01",1
"2021-11-01",1
"2021-12-01",1
"2022-01-01",1
"2022-02-01",1
"2022-03-01",1
"2022-04-01",1
"2022-05-01",1
"2022-06-01",1
"2022-07-01",1
"2022-08-01",1
"2022-09-01",1
"2022-10-01",1
"2022-11-01",1
"2022-12-01",1
"2023-01-01",1
"2023-02-01",1
"2023-03-01",100
"2023-04-01",5
"2023-05-01",3
"2023-06-01",2
"2023-07-01",1
"2023-08-01",1
"2023-09-01",1
"2023-10-01",1
"2023-11-01",1
"2023-12-01",1
"2024-01-01",1
