date,views,title,lang
202101,29200559,Donald Trump,en
202102,20492276,Donald Trump,en
202103,12977181,Donald Trump,en
202104,13581508,Donald Trump,en
202105,14513085,Donald Trump,en
202106,13880604,Donald Trump,en
202107,26200166,Donald Trump,en
202108,26604488,Donald Trump,en
202109,22407628,Donald Trump,en
202110,15101521,Donald Trump,en
202111,14288110,Donald Trump,en
202112,14636570,Donald Trump,en
202201,14089045,Donald Trump,en
202202,11135463,Donald Trump,en
202203,9476205,Donald Trump,en
202204,11416319,Donald Trump,en
202205,11991042,Donald Trump,en
202206,9768502,Donald Trump,en
202207,11003878,Donald Trump,en
202208,10583384,Donald Trump,en
202209,10014070,Donald Trump,en
202210,9214328,Donald Trump,en
202211,9648113,Donald Trump,en
202212,5081183,Donald Trump,en
202301,2225739,Donald Trump,en
202302,2161233,Donald Trump,en
202303,3359284,Donald Trump,en
202304,3428222,Donald Trump,en
202305,3426707,Donald Trump,en
202306,5059463,Donald Trump,en
202307,5310465,Donald Trump,en
202308,6125031,Donald Trump,en
202309,5153307,Donald Trump,en
202310,6108442,Donald Trump,en
202311,6916559,Donald Trump,en
202312,178725,Donald Trump,en
