date,views,title,lang
202101,881973,Bitcoin,en
202102,933565,Bitcoin,en
202103,649134,Bitcoin,en
202104,652458,Bitcoin,en
202105,990438,Bitcoin,en
202106,604425,Bitcoin,en
202107,417208,Bitcoin,en
202108,425156,Bitcoin,en
202109,668505,Bitcoin,en
202110,845726,Bitcoin,en
202111,833006,Bitcoin,en
202112,718252,Bitcoin,en
202201,891375,Bitcoin,en
202202,612528,Bitcoin,en
202203,629028,Bitcoin,en
202204,536500,Bitcoin,en
202205,520987,Bitcoin,en
202206,436606,Bitcoin,en
202207,311979,Bitcoin,en
202208,301276,Bitcoin,en
202209,307515,Bitcoin,en
202210,592145,Bitcoin,en
202211,631754,Bitcoin,en
202212,348527,Bitcoin,en
202301,323616,Bitcoin,en
202302,238114,Bitcoin,en
202303,277512,Bitcoin,en
202304,237095,Bitcoin,en
202305,248231,Bitcoin,en
202306,270602,Bitcoin,en
202307,253734,Bitcoin,en
202308,270272,Bitcoin,en
202309,292356,Bitcoin,en
202310,317506,Bitcoin,en
202311,304526,Bitcoin,en
202312,8970,Bitcoin,en
